Time,VWC%,Period,EC,Temp_Soil,Temp_Soil(F),Temp_IR,Temp_IR(F),Latitude,Longitude,Satellites,Fix,Rod Length,Soil Type,VWC Mode
2015-07-13 22:31:23,22.8,2472,0.00,19.1,66.4,----,----,00.000000 N,000.000000 W,0,0,S,S,V
2015-07-13 22:31:26,29.1,2599,0.08,19.1,66.5,----,----,00.000000 N,000.000000 W,0,0,S,S,V
2015-07-13 22:31:29,28.3,2584,0.06,19.1,66.5,----,----,00.000000 N,000.000000 W,0,0,S,S,V
2015-07-13 22:31:31,28.3,2584,0.10,19.1,66.5,----,----,00.000000 N,000.000000 W,0,0,S,S,V
2015-07-13 22:31:33,25.5,2526,0.02,19.1,66.5,----,----,00.000000 N,000.000000 W,0,0,S,S,V
2015-07-13 22:31:44,23.0,2475,0.02,19.2,66.6,----,----,00.000000 N,000.000000 W,0,0,S,S,V
2015-07-13 22:31:46,25.8,2533,0.00,19.2,66.6,----,----,00.000000 N,000.000000 W,0,0,S,S,V
2015-07-13 22:31:48,17.8,2369,0.01,19.2,66.6,----,----,00.000000 N,000.000000 W,0,0,S,S,V
2015-07-13 22:31:51,26.4,2544,0.00,19.2,66.7,----,----,00.000000 N,000.000000 W,0,0,S,S,V
2015-07-13 22:31:54,25.2,2520,0.00,19.2,66.7,----,----,00.000000 N,000.000000 W,0,0,S,S,V
2015-07-13 22:31:57,25.7,2530,0.01,19.3,66.7,----,----,00.000000 N,000.000000 W,0,0,S,S,V
2015-07-13 22:31:59,22.3,2462,0.00,19.3,66.7,----,----,00.000000 N,000.000000 W,0,0,S,S,V
2015-07-13 22:32:01,23.4,2484,0.02,19.3,66.7,----,----,00.000000 N,000.000000 W,0,0,S,S,V
2015-07-13 22:32:03,09.7,2205,0.00,19.3,66.7,----,----,00.000000 N,000.000000 W,0,0,S,S,V
2015-07-13 22:32:05,25.4,2524,0.00,19.3,66.8,----,----,00.000000 N,000.000000 W,0,0,S,S,V
2015-07-13 22:32:07,27.6,2569,0.05,19.3,66.8,----,----,00.000000 N,000.000000 W,0,0,S,S,V
2015-07-13 22:32:09,20.1,2416,0.00,19.3,66.8,----,----,00.000000 N,000.000000 W,0,0,S,S,V
2015-07-13 22:32:11,32.2,2663,0.03,19.3,66.9,----,----,00.000000 N,000.000000 W,0,0,S,S,V
2015-07-13 22:32:13,24.9,2515,0.02,19.3,66.9,----,----,00.000000 N,000.000000 W,0,0,S,S,V
