Time,VWC%,Period,EC,Temp_Soil,Temp_Soil(F),Temp_IR,Temp_IR(F),Latitude,Longitude,Satellites,Fix,Rod Length,Soil Type,VWC Mode,HDoP
2023-11-05 19:17:09,28.4,2362,0.10,17.9,64.3,--.-,--.-,0,0,0,0,T,S,V,
2023-11-05 19:17:14,35.0,2478,0.12,17.9,64.2,--.-,--.-,0,0,0,0,T,S,V,
2023-11-05 19:17:16,36.7,2508,0.18,17.8,64.0,--.-,--.-,0,0,0,0,T,S,V,
2023-11-05 19:17:18,39.6,2559,0.07,17.8,64.0,--.-,--.-,0,0,0,0,T,S,V,
2023-11-05 19:17:20,34.7,2473,0.06,17.6,63.8,--.-,--.-,0,0,0,0,T,S,V,
2023-11-05 19:17:22,37.7,2525,0.11,17.6,63.7,--.-,--.-,0,0,0,0,T,S,V,
2023-11-05 19:17:24,41.0,2583,0.14,17.6,63.7,--.-,--.-,0,0,0,0,T,S,V,
2023-11-05 19:17:27,37.6,2523,0.05,17.6,63.6,--.-,--.-,0,0,0,0,T,S,V,
2023-11-05 19:17:29,34.7,2473,0.08,17.5,63.5,--.-,--.-,0,0,0,0,T,S,V,
2023-11-05 19:17:31,39.3,2553,0.14,17.5,63.5,--.-,--.-,0,0,0,0,T,S,V,
2023-11-05 19:17:34,35.7,2490,0.08,17.4,63.4,--.-,--.-,0,0,0,0,T,S,V,
2023-11-05 19:17:38,44.9,2652,0.11,17.4,63.4,--.-,--.-,0,0,0,0,T,S,V,
2023-11-05 19:17:41,39.3,2553,0.13,17.4,63.3,--.-,--.-,0,0,0,0,T,S,V,
2023-11-05 19:17:43,32.6,2435,0.11,17.4,63.3,--.-,--.-,0,0,0,0,T,S,V,
2023-11-05 19:17:45,46.2,2674,0.22,17.4,63.3,--.-,--.-,0,0,0,0,T,S,V,
2023-11-05 19:17:48,37.4,2520,0.14,17.4,63.3,--.-,--.-,0,0,0,0,T,S,V,
2023-11-05 19:17:50,41.8,2597,0.17,17.4,63.3,--.-,--.-,0,0,0,0,T,S,V,
2023-11-05 19:17:52,40.1,2567,0.05,17.3,63.2,--.-,--.-,0,0,0,0,T,S,V,
2023-11-05 19:17:54,39.0,2548,0.11,17.3,63.2,--.-,--.-,0,0,0,0,T,S,V,
2023-11-05 19:17:57,29.0,2372,0.10,17.3,63.1,--.-,--.-,0,0,0,0,T,S,V,
2023-11-05 19:18:01,35.7,2490,0.06,17.3,63.1,--.-,--.-,0,0,0,0,T,S,V,
2023-11-05 19:18:03,39.4,2555,0.12,17.3,63.1,--.-,--.-,0,0,0,0,T,S,V,
2023-11-05 19:18:06,36.7,2508,0.10,17.2,63.0,--.-,--.-,0,0,0,0,T,S,V,
2023-11-05 19:18:08,30.2,2393,0.11,17.3,63.1,--.-,--.-,0,0,0,0,T,S,V,
2023-11-05 19:18:10,37.0,2512,0.07,17.2,63.0,--.-,--.-,0,0,0,0,T,S,V,
2023-11-05 19:18:12,38.2,2533,0.12,17.2,63.0,--.-,--.-,0,0,0,0,T,S,V,
2023-11-05 19:18:14,36.7,2507,0.07,17.2,63.0,--.-,--.-,0,0,0,0,T,S,V,
2023-11-05 19:18:16,40.2,2569,0.01,17.2,62.9,--.-,--.-,0,0,0,0,T,S,V,
2023-11-05 19:18:18,35.6,2488,0.11,17.2,62.9,--.-,--.-,0,0,0,0,T,S,V,
2023-11-05 19:18:20,37.0,2512,0.05,17.2,63.0,--.-,--.-,0,0,0,0,T,S,V,
2023-11-05 19:18:24,35.6,2489,0.08,17.2,63.0,--.-,--.-,0,0,0,0,T,S,V,
2023-11-05 19:18:26,37.1,2514,0.08,17.2,63.0,--.-,--.-,0,0,0,0,T,S,V,
2023-11-05 19:18:29,38.7,2543,0.14,17.2,62.9,--.-,--.-,0,0,0,0,T,S,V,
2023-11-05 19:18:30,35.2,2481,0.13,17.2,62.9,--.-,--.-,0,0,0,0,T,S,V,
2023-11-05 19:18:32,37.4,2519,0.13,17.2,62.9,--.-,--.-,0,0,0,0,T,S,V,
2023-11-05 19:18:34,31.4,2415,0.06,17.2,62.9,--.-,--.-,0,0,0,0,T,S,V,
2023-11-05 19:18:36,35.2,2481,0.12,17.2,62.9,--.-,--.-,0,0,0,0,T,S,V,
2023-11-05 19:18:39,40.9,2581,0.09,17.2,62.9,--.-,--.-,0,0,0,0,T,S,V,
2023-11-05 19:18:40,38.7,2543,0.03,17.2,62.9,--.-,--.-,0,0,0,0,T,S,V,
2023-11-05 19:18:43,37.0,2512,0.10,17.1,62.8,--.-,--.-,0,0,0,0,T,S,V,
2023-11-05 19:18:46,42.5,2609,0.14,17.2,62.9,--.-,--.-,0,0,0,0,T,S,V,
2023-11-05 19:18:48,39.3,2553,0.08,17.2,62.9,--.-,--.-,0,0,0,0,T,S,V,
2023-11-05 19:18:50,40.9,2582,0.07,17.2,62.9,--.-,--.-,0,0,0,0,T,S,V,
2023-11-05 19:18:52,43.7,2631,0.07,17.2,62.9,--.-,--.-,0,0,0,0,T,S,V,
2023-11-05 19:18:54,26.2,2324,0.09,17.1,62.8,--.-,--.-,0,0,0,0,T,S,V,
2023-11-05 19:18:56,39.5,2556,0.11,17.1,62.8,--.-,--.-,0,0,0,0,T,S,V,
2023-11-05 19:18:58,40.4,2572,0.11,17.1,62.8,--.-,--.-,0,0,0,0,T,S,V,
2023-11-05 19:19:00,38.2,2534,0.16,17.2,62.9,--.-,--.-,0,0,0,0,T,S,V,
2023-11-05 19:19:02,34.6,2470,0.10,17.1,62.8,--.-,--.-,0,0,0,0,T,S,V,
2023-11-05 19:19:04,29.4,2380,0.06,17.1,62.8,--.-,--.-,0,0,0,0,T,S,V,
2023-11-05 19:19:08,34.5,2469,0.12,17.2,62.9,--.-,--.-,0,0,0,0,T,S,V,
2023-11-05 19:19:11,39.1,2550,0.10,17.1,62.8,--.-,--.-,0,0,0,0,T,S,V,
2023-11-05 19:19:13,35.3,2483,0.12,17.2,62.9,--.-,--.-,0,0,0,0,T,S,V,
2023-11-05 19:19:15,42.9,2616,0.14,17.1,62.7,--.-,--.-,0,0,0,0,T,S,V,
2023-11-05 19:19:17,42.5,2610,0.07,17.1,62.8,--.-,--.-,0,0,0,0,T,S,V,
2023-11-05 19:19:19,35.2,2482,0.11,17.1,62.8,--.-,--.-,0,0,0,0,T,S,V,
2023-11-05 19:19:21,41.9,2598,0.08,17.0,62.7,--.-,--.-,0,0,0,0,T,S,V,
2023-11-05 19:19:23,39.1,2550,0.11,17.1,62.8,--.-,--.-,0,0,0,0,T,S,V,
2023-11-05 19:19:25,37.1,2514,0.13,17.1,62.8,--.-,--.-,0,0,0,0,T,S,V,
2023-11-05 19:19:27,40.5,2574,0.10,17.0,62.7,--.-,--.-,0,0,0,0,T,S,V,
