sep=,
"Sample Date","Dataset","Moisture (%)","EC (dS/m)","Temperature (°C)","Soil Temperature (°C)","Soil Temperature Depth (cm)","Salinity Index","Note"
"2026-01-01 13:41:05","1","26","0.23","21.67","19.52","5","0.88",""
"2026-01-01 13:41:30","1","29.1","0.23","23.23","19.62","5","0.79",""
"2026-01-01 13:42:20","1","26.7","0.28","22.83","19.32","5","1.05",""
"2026-01-01 13:43:10","1","18.9","0.19","23.87","19.62","5","1.01",""
"2026-01-01 13:43:57","1","17.5","0.14","24.03","19.22","5","0.8",""
"2026-01-01 13:44:45","1","19.5","0.24","23.85","18.16","5","1.23",""
"2026-01-01 13:45:59","1","18.5","0.33","22.89","18.48","5","1.78",""
"2026-01-01 13:46:46","1","20.5","0.28","23.57","19.04","5","1.37",""
"2026-01-01 13:47:44","1","24.7","0.28","24.11","19.44","5","1.13",""
"2026-01-01 13:48:34","1","19.5","0.22","23.41","19.38","5","1.13",""
"2026-01-01 13:49:31","1","19.7","0.16","23.95","18.59","5","0.81",""
"2026-01-01 13:50:44","1","20","0.32","23.21","17.93","5","1.6",""
"2026-01-01 13:51:43","1","14.4","0.16","21.67","18.09","5","1.11",""
"2026-01-01 13:52:32","1","21.4","0.2","22.89","18.36","5","0.93",""
"2026-01-01 13:53:25","1","17.8","0.2","22.89","18.88","5","1.12",""
